StockCode,canonical_description,total_units_sold,gross_revenue,number_of_orders,number_of_customers,return_value,net_revenue
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,941.0,305.66,40.0,17.0,0.0,305.66
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,524.0,232.35,35.0,17.0,0.0,232.35
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,169.0,70.98,10.0,8.0,-5.88,65.10000000000001
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1068.0,379.28999999999996,101.0,58.0,-0.42,378.86999999999995
16258B,DAISY ERASERS IN BAG,1016.0,221.06,15.0,13.0,0.0,221.06
16259,PIECE OF CAMO STATIONERY SET,5473.0,766.09,55.0,46.0,-14.100000000000001,751.99
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1211.0,299.34999999999997,23.0,20.0,-1.7399999999999998,297.60999999999996
17003,BROCADE RING PURSE ,71394.0,14948.75,456.0,215.0,-215.78,14732.97
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,46.0,96.60000000000001,6.0,6.0,0.0,96.60000000000001
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,261.0,179.56,12.0,6.0,0.0,179.56
17011B,ORIGAMI JASMINE INCENSE+FLOWER ,19.0,11.100000000000001,2.0,2.0,0.0,11.100000000000001
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,335.0,221.4,2.0,1.0,0.0,221.4
17011D,ORIGAMI ROSE INCENSE+FLOWER,209.0,135.70000000000002,4.0,2.0,0.0,135.70000000000002
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124.0,80.60000000000001,1.0,1.0,0.0,80.60000000000001
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,386.0,340.41,20.0,15.0,0.0,340.41
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,731.0,818.7099999999999,95.0,30.0,0.0,818.7099999999999
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,728.0,885.02,126.0,43.0,0.0,885.02
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,861.0,962.9499999999999,113.0,47.0,0.0,962.9499999999999
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,522.0,663.74,116.0,41.0,0.0,663.74
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,270.0,314.35999999999996,29.0,12.0,0.0,314.35999999999996
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,591.0,693.1999999999999,107.0,38.0,0.0,693.1999999999999
17013B,ORIGAMI JASMINE INCENSE IN TUBE,256.0,221.03,3.0,2.0,0.0,221.03
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,213.0,89.46000000000001,2.0,2.0,-40.32,49.14000000000001
17013D,ORIGAMI ROSE INCENSE IN TUBE,1069.0,575.76,31.0,17.0,-1.57,574.1899999999999
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,62.0,26.7,5.0,4.0,0.0,26.7
17014A,ORIGAMI VANILLA INCENSE CONES,277.0,173.48999999999998,16.0,9.0,0.0,173.48999999999998
17014C,ORIGAMI LAVENDER INCENSE CONES,97.0,43.75,2.0,1.0,0.0,43.75
17014D,ORIGAMI ROSE INCENSE CONES,479.0,204.36,8.0,5.0,0.0,204.36
17014E,ORIGAMI OPIUM INCENSE CONES,95.0,36.599999999999994,6.0,4.0,0.0,36.599999999999994
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,61.0,23.699999999999996,4.0,4.0,0.0,23.699999999999996
17021,NAMASTE SWAGAT INCENSE,4322.0,1128.84,76.0,45.0,-23.4,1105.4399999999998
17027A,INCENSE BAZAAR CANNABIS,228.0,84.84,2.0,1.0,0.0,84.84
17028J,INCENSE BAZAAR PEACH,6.0,2.52,1.0,1.0,0.0,2.52
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3280.0,867.8399999999999,69.0,58.0,-10.44,857.3999999999999
17038,PORCELAIN BUDAH INCENSE HOLDER,2659.0,261.51,55.0,21.0,0.0,261.51
17039,INLAID WOOD INCENSE HOLDER,3707.0,837.88,43.0,20.0,0.0,837.88
17061,ASSORTED SHAPED STENCIL FOR HENNA,52.0,2.08,1.0,1.0,0.0,2.08
17084A,TRANQUILITY MASALA INCENSE,442.0,92.82,18.0,14.0,0.0,92.82
17084G,MOON INCENSE,50.0,10.5,2.0,2.0,0.0,10.5
17084J,LOVE POTION MASALA INCENSE,481.0,101.01,20.0,17.0,0.0,101.01
17084N,FAIRY DREAMS INCENSE ,2798.0,647.66,187.0,42.0,0.0,647.66
17084P,DRAGONS BLOOD INCENSE,1016.0,228.43,70.0,23.0,0.0,228.43
17084R,ASSORTED INCENSE PACK,12065.0,2198.85,66.0,29.0,0.0,2198.85
17090A,LAVENDER INCENSE 40 CONES IN TIN,215.0,220.75,26.0,24.0,0.0,220.75
17090D,VANILLA INCENSE 40 CONES IN TIN,95.0,113.95,28.0,21.0,0.0,113.95
17091A,LAVENDER INCENSE IN TIN,2092.0,1294.6399999999999,117.0,78.0,0.0,1294.6399999999999
17091B,JASMINE TEA INCENSE IN TIN,276.0,316.98,51.0,35.0,0.0,316.98
17091F,SANDALWOOD INCENSE IN TIN,19.0,27.71,8.0,6.0,0.0,27.71
17091J,VANILLA INCENSE IN TIN,4086.0,2297.99,178.0,108.0,0.0,2297.99
17096,ASSORTED LAQUERED INCENSE HOLDERS,6241.0,1117.52,76.0,25.0,0.0,1117.52
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",330.0,841.5,86.0,68.0,-5.1,836.4
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,355.0,149.1,23.0,17.0,0.0,149.1
17109A,FLOWER FAIRY INCENSE LILY,709.0,333.61,13.0,12.0,0.0,333.61
17109B,FLOWER FAIRY INCENSE LAVENDER,4542.0,896.3399999999999,17.0,13.0,0.0,896.3399999999999
17109C,FLOWER FAIRY INCENSE ROSE,3124.0,661.23,15.0,13.0,-1.69,659.54
17109D,FLOWER FAIRY INCENSE BOUQUET,1259.0,601.69,38.0,33.0,-1.69,600.0
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,86.0,57.98,11.0,7.0,0.0,57.98
17129D,CLEAR COLOUR GLASS GEMS IN BAG,1125.0,1351.1799999999998,39.0,12.0,0.0,1351.1799999999998
17129F,BLUE GLASS GEMS IN BAG,1584.0,1691.2199999999998,145.0,19.0,-11.659999999999998,1679.5599999999997
17136A,BLUE STONES ON WIRE FOR CANDLE,743.0,61.78,34.0,28.0,0.0,61.78
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1622.0,647.4,81.0,64.0,-0.84,646.56
17164D,ASS COL SMALL SAND FROG P'WEIGHT,1150.0,447.0,28.0,26.0,0.0,447.0
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,810.0,751.6800000000001,57.0,43.0,-4.2,747.48
17165D,ASS COL LARGE SAND FROG P'WEIGHT,716.0,682.32,89.0,62.0,-6.300000000000001,676.0200000000001
17174,ASSTD RASTA KEY-CHAINS,36.0,15.120000000000001,7.0,7.0,0.0,15.120000000000001
17178,FLAT PALM T-LIGHT HOLDER,133.0,156.65,24.0,20.0,0.0,156.65
17181,CIRCLE OF FRIENDS CANDLE HOLDER,353.0,642.66,65.0,26.0,0.0,642.66
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,33.0,123.75,12.0,9.0,0.0,123.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,11423.0,1048.58,72.0,40.0,-120.0,928.5799999999999
18010,ASSORTED FRAGRANCE BATH CONFETTI,64.0,30.16,9.0,6.0,0.0,30.16
18094C,WHITE AND BLUE CERAMIC OIL BURNER,446.0,616.91,98.0,22.0,-1.25,615.66
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,117.0,298.7,20.0,12.0,-30.599999999999998,268.09999999999997
18096c,WHITE ROUND PORCELAIN TLIGHT HOLDER,8.0,41.14,6.0,0.0,0.0,41.14
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,18.0,45.9,12.0,10.0,0.0,45.9
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,7.0,17.849999999999998,3.0,3.0,0.0,17.849999999999998
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1811.0,4049.83,211.0,110.0,-571.8000000000001,3478.0299999999997
18098A,PINK PORCELAIN B'FLY OIL BURNER,2.0,5.9,2.0,2.0,0.0,5.9
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3.0,8.850000000000001,3.0,3.0,0.0,8.850000000000001
18098C,PORCELAIN BUTTERFLY OIL BURNER,1252.0,3340.36,236.0,104.0,-70.80000000000001,3269.56
18098c,PORCELAIN BUTTERFLY OIL BURNER,332.0,1682.01,135.0,0.0,0.0,1682.01
20615,BLUE POLKADOT PASSPORT COVER,647.0,1111.47,195.0,59.0,0.0,1111.47
20616,CHERRY BLOSSOM PASSPORT COVER,287.0,461.88,121.0,31.0,0.0,461.88
20617,FIRST CLASS PASSPORT COVER ,499.0,997.2,105.0,59.0,0.0,997.2
20618,QUEEN OF THE SKIES PASSPORT COVER ,298.0,650.64,137.0,50.0,0.0,650.64
20619,TROPICAL PASSPORT COVER ,579.0,1018.63,194.0,46.0,0.0,1018.63
20620,RED SPOTTY PASSPORT COVER,15.0,61.76,14.0,1.0,0.0,61.76
20621,ECONOMY PASSPORT COVER ,207.0,451.67,33.0,23.0,0.0,451.67
20622,VIPPASSPORT COVER ,586.0,1144.43,128.0,59.0,0.0,1144.43
20652,BLUE POLKADOT LUGGAGE TAG ,1520.0,1034.81,172.0,73.0,0.0,1034.81
20653,CHERRY BLOSSOM LUGGAGE TAG,2006.0,533.79,81.0,26.0,0.0,533.79
20654,FIRST CLASS LUGGAGE TAG ,398.0,505.41,120.0,65.0,0.0,505.41
20655,QUEEN OF SKIES LUGGAGE TAG,420.0,618.5,189.0,55.0,0.0,618.5
20657,TROPICAL LUGGAGE TAG,1878.0,727.72,118.0,54.0,0.0,727.72
20658,RED SPOTTY LUGGAGE TAG,1613.0,2296.43,353.0,153.0,-45.0,2251.43
20659,ECONOMY LUGGAGE TAG,370.0,534.76,138.0,55.0,0.0,534.76
20660,VIP LUGGAGE TAG ,71.0,88.75,26.0,22.0,0.0,88.75
20661,BLUE SPOTTY PURSE ,899.0,983.0100000000001,123.0,37.0,-210.3,772.71
20662,FIRST CLASS HOLIDAY PURSE ,730.0,476.35,49.0,23.0,-51.00000000000001,425.35
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1076.0,374.43,44.0,13.0,-93.85,280.58000000000004
20664,TROPICAL HOLIDAY PURSE ,57.0,155.41,31.0,11.0,0.0,155.41
20665,RED RETROSPOT PURSE ,1366.0,4371.47,348.0,167.0,-94.40000000000002,4277.070000000001
20666,ECONOMY HOLIDAY PURSE,911.0,412.45000000000005,46.0,22.0,-68.0,344.45000000000005
20667,CHERRY BLOSSOM PURSE,40.0,108.69,24.0,6.0,0.0,108.69
20668,DISCO BALL CHRISTMAS DECORATION,21748.0,2550.65,367.0,181.0,-0.36,2550.29
20669,RED HEART LUGGAGE TAG,818.0,1145.7,214.0,103.0,0.0,1145.7
20670,VIP HOLIDAY PURSE,694.0,378.85,48.0,20.0,-86.4,292.45000000000005
20671,BLUE TEATIME PRINT BOWL ,796.0,1051.22,143.0,70.0,0.0,1051.22
20672,PINK TEATIME PRINT BOWL,138.0,201.0,36.0,21.0,0.0,201.0
20673,STRAWBERRIES PRINT BOWL,5.0,6.25,2.0,2.0,0.0,6.25
20674,GREEN POLKADOT BOWL,3437.0,4383.55,463.0,196.0,-18.560000000000002,4364.99
20675,BLUE POLKADOT BOWL,6564.0,8179.16,693.0,281.0,-59.81,8119.349999999999
20676,RED RETROSPOT BOWL,10620.0,13279.16,966.0,372.0,-166.81,13112.35
20677,PINK POLKADOT BOWL,7888.0,9936.140000000001,760.0,268.0,-17.310000000000002,9918.830000000002
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4.0,6.6,1.0,1.0,0.0,6.6
20679,EDWARDIAN PARASOL RED,6256.0,30649.47,715.0,271.0,-107.1,30542.370000000003
20680,PINK FLOWERS CHILDS UMBRELLA,6.0,19.5,4.0,4.0,0.0,19.5
20681,PINK SPOTTY CHILDS UMBRELLA,1429.0,4859.79,341.0,184.0,-99.75,4760.04
20682,RED RETROSPOT CHILDRENS UMBRELLA,3123.0,10388.78,589.0,296.0,-178.75,10210.03
20683,RAIN GIRL CHILDS UMBRELLA,1.0,3.25,1.0,1.0,0.0,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,584.0,1933.62,176.0,117.0,-36.5,1897.12
20685,DOORMAT RED RETROSPOT,9968.0,67812.32,1725.0,626.0,-640.48,67171.84000000001
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,602.0,2059.44,186.0,117.0,-25.0,2034.44
20688,BEAUTY SPEED EXPRESSO CUPS,464.0,332.9,11.0,9.0,0.0,332.9
20689,RETRO SISTERS EXPRESSO CUPS,429.0,614.1,41.0,25.0,-23.4,590.7
20692,FLORAL ELEPHANT SOFT TOY,908.0,3682.76,139.0,75.0,-8.5,3674.26
20693,FLORAL DINOSAUR GREEN,33.0,161.89000000000001,18.0,10.0,-4.25,157.64000000000001
20694,FLORAL PINK MONSTER,166.0,622.33,54.0,23.0,-15.0,607.33
20695,FLORAL BLUE MONSTER,143.0,608.83,61.0,24.0,-17.0,591.83
20696,FLORAL SOFT CAR TOY,153.0,633.18,60.0,28.0,0.0,633.18
20697,LITTLE GREEN MONSTER SOFT TOY,42.0,101.7,21.0,17.0,0.0,101.7
20698,LITTLE PINK MONSTER SOFT TOY,47.0,114.44999999999999,21.0,17.0,0.0,114.44999999999999
20699,MOUSEY LONG LEGS SOFT TOY,300.0,825.81,88.0,42.0,0.0,825.81
20700,GREEN CAT FLORAL CUSHION COVER ,421.0,1135.22,103.0,11.0,-7.5,1127.72
20701,PINK CAT FLORAL CUSHION COVER ,353.0,721.49,50.0,12.0,0.0,721.49
20702,PINK PADDED MOBILE,795.0,3351.95,245.0,151.0,-46.75,3305.2
20703,BLUE PADDED SOFT MOBILE,471.0,1993.47,169.0,122.0,-136.0,1857.47
20704,MR ROBOT SOFT TOY,361.0,1371.42,80.0,60.0,-27.8,1343.6200000000001
20705,MRS ROBOT SOFT TOY,273.0,996.19,53.0,47.0,-1.95,994.24
20707,CRAZY DAISY HEART DECORATION,1615.0,1247.44,199.0,48.0,-8.75,1238.69
20711,JUMBO BAG TOYS ,12836.0,26183.0,1052.0,326.0,-70.31,26112.69
20712,JUMBO BAG WOODLAND ANIMALS,17936.0,37988.94,1415.0,387.0,-447.61,37541.33
20713,JUMBO BAG OWLS,21170.0,41332.89,1314.0,371.0,-448.98,40883.909999999996
20714,POSY SHOPPER BAG,1580.0,649.8199999999999,28.0,10.0,0.0,649.8199999999999
20715,LITTLE FLOWER SHOPPER BAG,400.0,424.0,1.0,1.0,-424.0,0.0
20716,PARTY FOOD SHOPPER BAG,1538.0,1933.81,246.0,121.0,-13.75,1920.06
20717,STRAWBERRY SHOPPER BAG,6337.0,7834.73,757.0,283.0,-137.25,7697.48
20718,RED RETROSPOT SHOPPER BAG,13481.0,17730.0,1213.0,428.0,-71.74,17658.26
20719,WOODLAND CHARLOTTE BAG,24901.0,28249.92,1573.0,365.0,-106.82,28143.1
20721,OWLS CHARLOTTE BAG,1.0,0.85,1.0,1.0,0.0,0.85
20723,STRAWBERRY CHARLOTTE BAG,18441.0,20640.22,1379.0,356.0,-157.78,20482.440000000002
20724,RED RETROSPOT CHARLOTTE BAG,32443.0,35558.229999999996,2035.0,524.0,-252.82999999999998,35305.399999999994
20725,LUNCH BAG RED RETROSPOT,40752.0,72001.35,3056.0,845.0,-1383.75,70617.6
20726,LUNCH BAG WOODLAND,22301.0,38883.729999999996,1926.0,585.0,-1497.95,37385.78
20727,LUNCH BAG  BLACK SKULL.,27042.0,46283.89,2351.0,705.0,-1778.95,44504.94
20728,LUNCH BAG CARS BLUE,24838.0,42695.64,2067.0,702.0,-1678.0,41017.64
20729,RED SPOTTY CANDY BAG,5262.0,1778.12,121.0,39.0,-27.5,1750.62
20730,STRAWBERRY CANDY BAG,2218.0,1011.7,102.0,34.0,-13.75,997.95
20731,POSY CANDY BAG,4143.0,1254.17,73.0,40.0,-58.300000000000004,1195.8700000000001
20733,GOLD MINI TAPE MEASURE ,1957.0,1477.7,294.0,67.0,-216.0,1261.7
20734,SILVER MINI TAPE MEASURE ,1598.0,1485.6799999999998,117.0,50.0,-0.85,1484.83
20735,BLACK MINI TAPE MEASURE ,1545.0,1589.03,202.0,30.0,0.0,1589.03
20736,PINK MINI TAPE MEASURE ,290.0,233.5,19.0,18.0,0.0,233.5
20737,RED MINI TAPE MEASURE ,1.0,1.7,1.0,0.0,0.0,1.7
20738,GREEN MINI TAPE MEASURE ,1610.0,1301.72,74.0,46.0,0.0,1301.72
20739,*USB Office Glitter Lamp,1.0,8.65,1.0,0.0,0.0,8.65
20747,PICCADILLY TEA SET,683.0,9224.92,108.0,48.0,-55.4,9169.52
20749,ASSORTED COLOUR MINI CASES,3143.0,22703.16,766.0,426.0,-101.75,22601.41
20750,RED RETROSPOT MINI CASES,3772.0,27523.12,909.0,471.0,-144.6,27378.52
20751,FUNKY WASHING UP GLOVES ASSORTED,2875.0,6103.080000000001,471.0,264.0,-6.300000000000001,6096.780000000001
